timestamp,person,position,track_id
2023-11-20 19:06:46,Sarthak,left,3ijXR4yXgN43eF54uK7oos
2023-11-20 19:08:55,Sarthak,left,5QvBXUm5MglLJ3iBfTX2Wo
2023-11-20 19:11:12,Sarthak,left,7m9OqQk4RVRkw9JJdeAw96
2023-11-20 19:13:14,Sarthak,left,3Fj47GNK2kUF0uaEDgXLaD
2023-11-20 19:15:23,Sarthak,left,16umSNZfofRpDqTvf8DIAo
2023-11-20 20:10:11,Both,right,35xSkNIXi504fcEwz9USRB
2023-11-20 20:12:51,Both,right,12dtBMOafWqGvjJhKxAJ7q
2023-11-20 20:15:18,Both,right,7KZ5MMVgBVox9ycroB2UrI
2023-11-20 20:17:26,Both,right,7LmkhaMCqsjppaYtAYhMaI
2023-11-20 20:20:05,Both,right,0f0gfm6wHjhqrBMHBn9Ajr
2023-11-20 20:22:55,Both,right,3s7MCdXyWmwjdcWh7GWXas
2023-11-20 20:25:03,Both,right,3ijXR4yXgN43eF54uK7oos
2023-11-20 20:27:21,Both,right,2Uvy6SkNqxvnH1W68dymxG
2023-11-20 20:30:01,Both,right,5QvBXUm5MglLJ3iBfTX2Wo
2023-11-20 20:32:05,Both,right,3ZCTVFBt2Brf31RLEnCkWJ
2023-11-20 20:34:40,Both,right,40GRJBeHKroMtWwGX9EFyQ
2023-11-20 20:37:17,Both,right,7aSyG7cskkG3zhfO2JLxq3
2023-11-20 20:39:56,Both,right,0yhxBvedRdGxsPZHJNI4VA
2023-11-20 20:42:13,Both,right,4xR3MAscflQ262kMeiKshQ
2023-11-20 20:44:59,Both,right,3ZCTVFBt2Brf31RLEnCkWJ
2023-11-20 20:47:33,Both,right,1BViPjTT585XAhkUUrkts0
2023-11-20 20:50:20,Both,right,73D5hBkiVZkopZrmBZTBWf
2023-11-20 20:52:40,Both,right,3ZCTVFBt2Brf31RLEnCkWJ
2023-11-20 20:55:00,Both,right,3ijXR4yXgN43eF54uK7oos
2023-11-20 20:57:00,Both,right,7KZ5MMVgBVox9ycroB2UrI
2023-11-20 20:59:36,Both,right,34xTFwjPQ1dC6uJmleno7x
2023-11-20 21:02:07,Both,right,0f0gfm6wHjhqrBMHBn9Ajr
2023-11-20 21:04:21,Both,right,4YwNf1fLZt9IQhJeHNWfBi
2023-11-20 21:06:49,Both,right,34xTFwjPQ1dC6uJmleno7x
2023-11-20 21:09:27,Both,right,0j35X8cTq543QDYLOyqB8W
2023-11-20 21:11:50,Both,right,1BViPjTT585XAhkUUrkts0
2023-11-20 21:14:15,Both,right,34xTFwjPQ1dC6uJmleno7x
2023-11-20 21:17:03,Both,right,3s7MCdXyWmwjdcWh7GWXas
2023-11-20 21:19:51,Both,right,3ijXR4yXgN43eF54uK7oos
2023-11-20 21:21:53,Both,right,2rXVtoLBHuXcNB5DVfIc9p
2023-11-20 21:24:37,Both,right,3PbV3ocgAp3Xn0omGFC0cG
2023-11-20 21:26:48,Both,right,3s7MCdXyWmwjdcWh7GWXas
2023-11-20 21:29:43,Both,right,4QIo4oxwzzafcBWkKjDpXY
2023-11-20 21:32:00,Both,right,16qYlQ6koFxYVbiJbGHblz
2023-11-20 21:34:20,Both,right,0f0gfm6wHjhqrBMHBn9Ajr
2023-11-20 21:36:55,Both,right,0yhxBvedRdGxsPZHJNI4VA
2023-11-20 21:38:57,Both,right,34xTFwjPQ1dC6uJmleno7x
2023-11-20 21:41:01,Both,right,1FBuBhNZ8dmjUBWR58UOQv
2023-11-20 21:43:06,Both,right,0yhxBvedRdGxsPZHJNI4VA
2023-11-20 21:45:15,Both,right,5GUYJTQap5F3RDQiCOJhrS
2023-11-20 21:48:12,Both,right,4YwNf1fLZt9IQhJeHNWfBi
2023-11-20 21:51:11,Both,right,0yhxBvedRdGxsPZHJNI4VA
2023-11-20 21:53:44,Both,right,2JUqYobT8NvARdPmc4ES2x
2023-11-20 21:55:57,Both,right,01z2fBGB8Hl3Jd3zXe4IXR
2023-11-20 21:58:56,Both,right,3ZCTVFBt2Brf31RLEnCkWJ
2023-11-20 22:01:07,Both,right,78TTtXnFQPzwqlbtbwqN0y
2023-11-20 22:03:26,Both,right,4xR3MAscflQ262kMeiKshQ
2023-11-20 22:05:57,Both,right,7fTEiF3rNCc8TDagCAXjhd
2023-11-20 22:08:23,Both,right,0fl8Tsy98InF9qnM6vrZ60
2023-11-20 22:10:27,Both,right,5GUYJTQap5F3RDQiCOJhrS
2023-11-20 22:13:19,Both,right,7m9OqQk4RVRkw9JJdeAw96
2023-11-20 22:15:35,Both,right,43zdsphuZLzwA9k4DJhU0I
2023-11-20 22:17:52,Both,right,2LMkwUfqC6S6s6qDVlEuzV
